geoid, county, totalpopulation, totalpopulationme, totallaborforce, totallaborforcepme, employed, employedpme, unemployed, unemployedpme, medianincome, medianincomeme, meanincome, meanincomeme, medianmaleincome, medianmaleincomeme, medianfemaleincome, medianfemaleincomeme, insured, insuredpme, uninsured, uninsuredpme, belowpovertyline, belowpovertylinepme
0500000US48039,Brazoria County,283483,1437,176601,1.6,169481,1.7,7120,0.6,73623,4248,93145,4712,61357,1495,47964,6489,298656,2,59194,2,7.1,2
0500000US48085,Collin County,774988,2068,546499,0.9,527036,0.9,19463,0.3,96051,3181,123475,3301,76698,2554,52271,1634,889148,1,113306,1,4.5,0.8
0500000US48113,Dallas County,2022625,3139,1392771,0.6,1333559,0.6,59212,0.2,59839,1022,88220,1467,46413,723,40700,573,2052542,0.7,567301,0.7,10.8,0.7
0500000US48167,Galveston County,265834,1141,172769,1.7,160521,1.7,12248,1,73840,4662,97662,4823,62387,5487,50219,4302,280473,1.7,51553,1.7,9.3,2.3
0500000US48491,Williamson County,438217,1263,303504,1.2,288185,1.3,15319,0.7,87454,2839,104029,3018,65136,4916,49162,2040,502461,1.2,61622,1.2,4.2,1
0500000US48135,Ector County,117708,987,79507,2.1,75990,2.1,3517,1.1,64165,6882,88400,6950,56701,7884,36031,3145,129341,3.2,31709,3.2,8.7,2.9
0500000US48183,Gregg County,95713,715,59273,2.9,56452,3.2,2821,1.3,51361,4420,74012,6675,46120,6169,36077,4709,99453,2.7,22282,2.7,10.6,3.4
0500000US48251,Johnson County,132376,717,81047,2.1,78119,2.1,2928,0.7,62390,4913,80258,4515,49857,2575,38454,4215,141093,2.4,27811,2.4,8.4,2.7
0500000US48309,McLennan County,199014,900,119906,1.7,115561,1.7,4345,0.5,48713,3338,64493,2647,44246,4776,32868,3019,211995,2.2,38399,2.2,14.8,2.4
0500000US48347,Nacogdoches County,51893,525,28264,4.3,26584,4.6,1680,1.3,46459,3308,61279,5538,47542,5934,36227,3447,54839,3.2,10085,3.2,12.7,4.6
0500000US48397,Rockwall County,76544,867,52934,2.7,50140,2.8,2794,1.5,100595,9005,112543,7210,67795,12465,48112,5045,87283,3.7,12460,3.7,5.6,3
0500000US48409,San Patricio County,51109,431,29540,3.2,27963,3.3,1577,1.5,55018,6763,69669,5507,47200,6470,35566,5181,57943,2.7,8179,2.7,14.7,4.5
0500000US48423,Smith County,179671,769,110572,2.1,104522,2.2,6050,1,58226,4793,80432,6535,45394,8030,34839,2966,184696,2.3,43061,2.3,12,2.7
0500000US48439,Tarrant County,1600241,2772,1095762,0.7,1044561,0.7,51201,0.3,66063,1349,91655,2058,51351,721,41576,760,1712475,0.7,356191,0.7,9.3,0.8
0500000US48469,Victoria County,70496,850,42457,2.6,39664,2.7,2793,1.3,50210,4866,70507,5446,49028,7227,32438,4023,77669,2.8,13397,2.8,13,3.7
0500000US48021,Bastrop County,67002,626,40384,3.5,38109,3.8,2275,1.4,69067,13636,82572,8336,50648,3569,40870,7346,70861,3.5,13979,3.5,12.6,5.5
0500000US48037,Bowie County,73446,729,38852,3.5,36966,3.6,1886,1.3,47134,4912,67781,6860,47528,3445,36619,5411,78405,2.2,10180,2.2,16.8,4.5
0500000US48041,Brazos County,185017,1155,107861,2.1,103742,2,4119,0.7,50110,2278,71726,2917,47673,4200,40983,2225,194956,1.8,26788,1.8,11.8,2.8
0500000US48141,El Paso County,639198,1513,384524,1.2,360160,1.3,24364,0.5,43958,2037,61669,2298,38085,1971,31630,1260,638367,1.4,181321,1.4,17.8,1.6
0500000US48203,Harrison County,52209,803,30641,4.1,29157,4.2,1484,1.4,50561,7915,68916,8272,41993,10045,31331,4127,56456,3.6,9532,3.6,7.6,4.3
0500000US48209,Hays County,177260,1818,120140,2.4,112641,2.7,7499,1.2,65943,6224,87927,5914,55750,5809,35761,3216,184671,2.3,36126,2.3,7.7,2.9
0500000US48355,Nueces County,283111,955,175061,1.6,164776,1.5,10285,0.8,54560,4560,74721,3892,47025,2563,36096,1901,290949,1.6,66787,1.6,13.6,1.9
0500000US48027,Bell County,267437,1311,159805,1.5,148030,1.7,11775,0.7,54495,2274,69088,2944,44389,3485,36985,2659,294381,1.3,43294,1.3,10.2,2
0500000US48061,Cameron County,310656,1178,171778,1.6,163171,1.6,8607,0.6,38378,2327,53325,2519,34130,2348,26404,1680,299508,1.9,122716,1.9,25.5,2.4
0500000US48139,Ellis County,137246,885,92428,1.8,89419,1.9,3009,0.6,77794,3774,99650,13956,53249,4068,46809,2115,149901,2.4,28387,2.4,6.4,2.2
0500000US48201,Harris County,3575799,4088,2405234,0.5,2269657,0.5,135577,0.3,60232,813,88212,1245,48176,1360,41283,693,3704637,0.5,971165,0.5,13.5,0.6
0500000US48245,Jefferson County,199452,914,108866,1.9,104575,1.9,4291,0.5,47177,3730,69578,3957,50455,2576,35939,1652,194733,1.6,46642,1.6,14.5,2.5
0500000US48291,Liberty County,66358,782,33591,4.8,32179,4.8,1412,1.2,51955,4132,64146,5516,48918,7011,34080,9683,63160,4.1,14528,4.1,7.3,3.1
0500000US48303,Lubbock County,241507,912,157100,2,152030,2,5070,0.5,50505,3058,70428,3746,46999,3701,36789,1723,267203,1.4,36194,1.4,10.2,2.1
0500000US48441,Taylor County,106512,629,64381,2.1,61833,2.2,2548,0.6,47508,2986,66633,3875,41916,3849,34892,3590,111055,2.3,21127,2.3,11.5,2.9
0500000US48471,Walker County,62631,340,24898,4.6,23990,4.4,908,1,40100,7234,57559,6437,43122,4697,32383,6697,49762,2.9,7304,2.9,17.3,6.4
0500000US48479,Webb County,195021,1232,116423,1.5,110291,1.4,6132,0.7,46862,3473,62301,4579,40980,2250,29029,3254,193692,2.7,79940,2.7,22.8,3.1
0500000US48121,Denton County,673154,1405,489009,0.8,469327,0.9,19682,0.3,88117,2773,113705,2826,65244,3458,50745,1117,761305,1.1,94658,1.1,4.3,0.9
0500000US48257,Kaufman County,96709,609,65916,1.9,61393,2.2,4523,1.4,66668,6153,85351,6581,51466,5075,37764,2904,107990,2.1,19541,2.1,9.8,3.4
0500000US48375,Potter County,90107,611,54309,2.1,52488,2.3,1821,0.8,40797,3760,57771,4979,41463,4265,30014,4952,86921,3,25947,3,16.2,3.4
0500000US48381,Randall County,107027,705,75393,2.1,73018,2.2,2375,1,70108,4333,87215,4215,53487,4620,43312,6851,122330,2,13134,2,4.4,1.7
0500000US48453,Travis County,1008923,1717,734136,0.8,706327,0.9,27809,0.3,76392,2247,110876,3039,60245,2101,50776,830,1088542,0.8,152099,0.8,8.4,1
0500000US48005,Angelina County,67221,461,37309,3.1,35213,3.1,2096,1.1,47519,5773,58743,3896,40439,3458,31569,2580,68467,3.9,16670,3.9,14.9,4.4
0500000US48157,Fort Bend County,597161,2033,403945,1.3,383153,1.5,20792,0.6,91931,2956,121466,4498,69537,4105,51884,1730,695529,1.3,87518,1.3,6.5,1.2
0500000US48181,Grayson County,106706,765,64880,2.2,61509,2.3,3371,1,51158,1866,68561,4426,45957,7351,36365,2254,106616,3,26134,3,8,2.7
0500000US48213,Henderson County,66409,440,31763,3.8,29917,4,1846,1.2,42020,3855,64819,6449,50117,10445,37685,7302,65045,3.8,16216,3.8,15.9,4.1
0500000US48451,Tom Green County,92523,648,56212,2.9,53524,2.9,2688,1.3,52283,5118,70803,6182,44500,4136,35498,2457,99190,2.5,13526,2.5,11.5,3.7
0500000US48099,Coryell County,59586,507,24875,3.6,23185,3.5,1690,1.2,46131,7895,57297,4010,36425,1471,30686,2636,51278,3.3,6720,3.3,13,4
0500000US48231,Hunt County,75537,625,46255,2.6,43943,2.7,2312,1.1,55248,7653,71428,5129,50955,4447,35627,1664,78000,3.3,17686,3.3,8,2.4
0500000US48339,Montgomery County,452956,1592,295178,1.4,284354,1.4,10824,0.5,76929,3106,111239,4879,61502,1760,46836,2468,499048,1.4,89465,1.4,7,1.5
0500000US48367,Parker County,108544,667,65980,2.6,62785,2.8,3195,1.2,72004,8476,99408,8210,65339,7153,37873,6335,114010,2.9,22847,2.9,4.5,2.2
0500000US48485,Wichita County,105734,654,59306,2.8,55745,2.6,3561,1.3,47373,3755,64535,4879,46707,3667,34201,3257,102022,2.2,16432,2.2,13.2,3.2
0500000US48029,Bexar County,1534680,2530,976990,0.7,922429,0.7,54561,0.4,54149,1409,74351,1408,42440,1428,37626,1507,1647402,0.7,310883,0.7,13.2,0.8
0500000US48091,Comal County,119542,618,65854,2.2,63689,2.3,2165,0.8,76203,3800,102138,7378,55755,6632,48920,3442,127488,2.4,19365,2.4,4.3,1.6
0500000US48187,Guadalupe County,126505,760,79376,2.2,76946,2.4,2430,0.8,74459,3104,91990,5940,51398,1604,45043,4519,143200,1.9,17933,1.9,5.8,1.7
0500000US48215,Hidalgo County,614895,1863,361040,1.1,338116,1.2,22924,0.6,39165,2282,55958,2448,36053,1475,30147,1845,595926,1.5,262443,1.5,27.8,2.2
0500000US48329,Midland County,127958,1139,92691,2.3,91188,2.3,1503,0.5,81210,4945,111669,8268,64671,4251,41309,1851,150038,2.4,21325,2.4,7.3,2.9
0500000US48361,Orange County,65739,872,40315,3.1,38767,3.6,1548,1.2,56420,5374,75115,7134,62073,4892,34192,4122,68736,3.2,14021,3.2,7.9,3.6
0500000US48497,Wise County,53681,497,33589,3.7,32414,3.6,1175,0.9,69040,9883,86065,8343,51407,4061,46118,4968,56062,3.5,11470,3.5,5.8,3
0400000US48,Texas,22117923,11043,14266767,36411,13491168,36714,694485,16706,60629,279,85780,478,50394,225,40499,231,2674521,27955,1125218,23549,11.4,0.2